Location	Name	ID	Count	Slots
General1	Cloth Cap-0	2000	1	0
General2	Cloth Sandals-1	2001	1	0
General3	Rusty Dagger-2	2002	1	0
General4	Rusty Sword-3	2003	1	10
General5	Bread Loaf-4	2004	42	0
General6	Water Flask-5	2005	5	0
General7	Bandages-6	2006	1	0
General8	Bone Chips-7	2007	1	0
General9	Spider Silk-8	2008	42	8
General10	Fire Beetle Eye-9	2009	1	8
Bank1	Snake Egg-10	2010	1	10
Bank2	Wolf Pelt-11	2011	42	0
Bank3	Bear Hide-12	2012	1	0
Bank4	Lion Skin-13	2013	1	0
Bank5	Mosquito Tabar-14	2014	1	10
Bank6	Centi Long Sword-15	2015	5	0
Bank7	Spectre Eye-16	2016	1	0
Bank8	Ghoulbane-17	2017	1	0
Charm	Iksar Tail-18	2018	1	0
Head	Goblin Ears-19	2019	5	0
Face	Cloth Cap-20	2020	2	0
Neck	Cloth Sandals-21	2021	1	0
Shoulders	Rusty Dagger-22	2022	10	8
Arms	Rusty Sword-23	2023	1	0
Back	Bread Loaf-24	2024	1	8
Wrist1	Water Flask-25	2025	1	10
Wrist2	Bandages-26	2026	2	8
Range	Bone Chips-27	2027	1	10
Hands	Spider Silk-28	2028	1	0
Primary	Fire Beetle Eye-29	2029	1	0
Secondary	Snake Egg-30	2030	1	0
Finger1	Wolf Pelt-31	2031	1	0
Finger2	Bear Hide-32	2032	1	0
Chest	Lion Skin-33	2033	2	0
Legs	Mosquito Tabar-34	2034	2	0
Feet	Centi Long Sword-35	2035	1	10
Waist	Spectre Eye-36	2036	1	10
Power	Ghoulbane-37	2037	1	8
Ammo	Iksar Tail-38	2038	1	8
General1	Goblin Ears-39	2039	1	0
General2	Cloth Cap-40	2040	10	0
General3	Cloth Sandals-41	2041	1	10
General4	Rusty Dagger-42	2042	42	0
General5	Rusty Sword-43	2043	2	0
General6	Bread Loaf-44	2044	1	0
General7	Water Flask-45	2045	2	0
General8	Bandages-46	2046	1	0
General9	Bone Chips-47	2047	1	8
General10	Spider Silk-48	2048	2	0
Bank1	Fire Beetle Eye-49	2049	10	0
Bank2	Snake Egg-50	2050	10	0
Bank3	Wolf Pelt-51	2051	1	0
Bank4	Bear Hide-52	2052	1	10
Bank5	Lion Skin-53	2053	42	8
Bank6	Mosquito Tabar-54	2054	1	10
Bank7	Centi Long Sword-55	2055	5	8
Bank8	Spectre Eye-56	2056	5	0
Charm	Ghoulbane-57	2057	1	0
Head	Iksar Tail-58	2058	42	0
Face	Goblin Ears-59	2059	1	0
Neck	Cloth Cap-60	2060	1	0
Shoulders	Cloth Sandals-61	2061	1	10
Arms	Rusty Dagger-62	2062	5	8
Back	Rusty Sword-63	2063	1	0
Wrist1	Bread Loaf-64	2064	5	8
Wrist2	Water Flask-65	2065	10	8
Range	Bandages-66	2066	1	8
Hands	Bone Chips-67	2067	1	10
Primary	Spider Silk-68	2068	1	10
Secondary	Fire Beetle Eye-69	2069	42	0
Finger1	Snake Egg-70	2070	2	0
Finger2	Wolf Pelt-71	2071	1	0
Chest	Bear Hide-72	2072	1	0
Legs	Lion Skin-73	2073	1	10
Feet	Mosquito Tabar-74	2074	1	8
Waist	Centi Long Sword-75	2075	1	8
Power	Spectre Eye-76	2076	1	10
Ammo	Ghoulbane-77	2077	1	10
General1	Iksar Tail-78	2078	42	8
General2	Goblin Ears-79	2079	1	0
General3	Cloth Cap-80	2080	2	0
General4	Cloth Sandals-81	2081	42	8
General5	Rusty Dagger-82	2082	1	8
General6	Rusty Sword-83	2083	2	0
General7	Bread Loaf-84	2084	1	0
General8	Water Flask-85	2085	2	0
General9	Bandages-86	2086	1	0
General10	Bone Chips-87	2087	1	8
Bank1	Spider Silk-88	2088	1	0
Bank2	Fire Beetle Eye-89	2089	10	0
Bank3	Snake Egg-90	2090	42	0
Bank4	Wolf Pelt-91	2091	1	10
Bank5	Bear Hide-92	2092	10	8
Bank6	Lion Skin-93	2093	1	0
Bank7	Mosquito Tabar-94	2094	42	8
Bank8	Centi Long Sword-95	2095	5	0
Charm	Spectre Eye-96	2096	42	10
Head	Ghoulbane-97	2097	1	10
Face	Iksar Tail-98	2098	1	0
Neck	Goblin Ears-99	2099	2	0
Shoulders	Cloth Cap-100	2100	42	0
Arms	Cloth Sandals-101	2101	1	0
Back	Rusty Dagger-102	2102	1	0
Wrist1	Rusty Sword-103	2103	2	0
Wrist2	Bread Loaf-104	2104	42	0
Range	Water Flask-105	2105	1	0
Hands	Bandages-106	2106	1	10
Primary	Bone Chips-107	2107	1	0
Secondary	Spider Silk-108	2108	1	0
Finger1	Fire Beetle Eye-109	2109	2	0
Finger2	Snake Egg-110	2110	42	0
Chest	Wolf Pelt-111	2111	1	10
Legs	Bear Hide-112	2112	10	0
Feet	Lion Skin-113	2113	42	0
Waist	Mosquito Tabar-114	2114	10	0
Power	Centi Long Sword-115	2115	10	0
Ammo	Spectre Eye-116	2116	1	0
General1	Ghoulbane-117	2117	1	10
General2	Iksar Tail-118	2118	5	0
General3	Goblin Ears-119	2119	5	0
General4	Cloth Cap-120	2120	10	10
General5	Cloth Sandals-121	2121	1	10
General6	Rusty Dagger-122	2122	1	0
General7	Rusty Sword-123	2123	5	10
General8	Bread Loaf-124	2124	2	0
General9	Water Flask-125	2125	1	0
General10	Bandages-126	2126	1	8
Bank1	Bone Chips-127	2127	10	0
Bank2	Spider Silk-128	2128	5	0
Bank3	Fire Beetle Eye-129	2129	1	0
Bank4	Snake Egg-130	2130	1	0
Bank5	Wolf Pelt-131	2131	10	8
Bank6	Bear Hide-132	2132	1	0
Bank7	Lion Skin-133	2133	42	0
Bank8	Mosquito Tabar-134	2134	1	0
Charm	Centi Long Sword-135	2135	1	0
Head	Spectre Eye-136	2136	10	0
Face	Ghoulbane-137	2137	1	0
Neck	Iksar Tail-138	2138	1	0
Shoulders	Goblin Ears-139	2139	5	0
Arms	Cloth Cap-140	2140	5	0
Back	Cloth Sandals-141	2141	10	0
Wrist1	Rusty Dagger-142	2142	5	10
Wrist2	Rusty Sword-143	2143	42	10
Range	Bread Loaf-144	2144	10	0
Hands	Water Flask-145	2145	1	0
Primary	Bandages-146	2146	1	0
Secondary	Bone Chips-147	2147	42	0
Finger1	Spider Silk-148	2148	2	0
Finger2	Fire Beetle Eye-149	2149	1	8
Chest	Snake Egg-150	2150	10	8
Legs	Wolf Pelt-151	2151	42	0
Feet	Bear Hide-152	2152	1	8
